Protein	Protein ID	Entry Name	Gene Names	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	RMAHA1 Spectral Count	RMAHA2 Spectral Count	RMAHA3 Spectral Count	RMAHA1 Unique Spectral Count	RMAHA2 Unique Spectral Count	RMAHA3 Unique Spectral Count	RMAHA1 Total Spectral Count	RMAHA2 Total Spectral Count	RMAHA3 Total Spectral Count	RMAHA1 Intensity	RMAHA2 Intensity	RMAHA3 Intensity	RMAHA1 MaxLFQ Intensity	RMAHA2 MaxLFQ Intensity	RMAHA3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P20618|PSB1_HUMAN	P20618	PSB1_HUMAN	PSMB1	241	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-1	1	0.999	5	10	10	10	7	1	2	7	1	2	7	1	2	7.40E+07	1.00E+08	1.04E+08	2.58E+07	4.32E+07	5.94E+07	
sp|P20645|MPRD_HUMAN	P20645	MPRD_HUMAN	M6PR	277	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cation-dependent mannose-6-phosphate receptor	0.9685	0.9954	1	1	0	1	1	0	0	0	0	0	1	0	0	2785800.5	0	5179636.5	0	0	0	tr|H0YGT2|H0YGT2_HUMAN
sp|P20674|COX5A_HUMAN	P20674	COX5A_HUMAN	COX5A	150	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Cytochrome c oxidase subunit 5A, mitochondrial"	1	0.9989	4	4	0	4	4	0	0	0	0	0	4	0	0	5.16E+07	4.87E+07	5.00E+07	2.72E+07	2.67E+07	2.79E+07	
sp|P20700|LMNB1_HUMAN	P20700	LMNB1_HUMAN	LMNB1	586	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lamin-B1	1	0.9988	4	3	1	4	3	0	0	1	0	0	4	0	0	1.15E+07	3478722.8	5626168.5	0	0	0	
sp|P20930|FILA_HUMAN	P20930	FILA_HUMAN	FLG	4061	Homo sapiens OX=9606	1:Experimental evidence at protein level	Filaggrin	1	0.999	34	48	48	48	37	4	7	37	4	7	37	4	7	6.18E+08	5.49E+08	7.52E+08	8.04E+07	8.91E+07	1.17E+08	
sp|P20933|ASPG_HUMAN	P20933	ASPG_HUMAN	AGA	346	Homo sapiens OX=9606	1:Experimental evidence at protein level	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	1	0.9986	1	3	0	3	1	1	1	0	0	0	1	1	1	4.42E+07	3.88E+07	4.61E+07	3.25E+07	3.50E+07	3.50E+07	tr|H0Y9C7|H0Y9C7_HUMAN
sp|P21128|ENDOU_HUMAN	P21128	ENDOU_HUMAN	ENDOU	410	Homo sapiens OX=9606	1:Experimental evidence at protein level	Uridylate-specific endoribonuclease	1	0.999	4	5	5	5	5	0	0	5	0	0	5	0	0	5.58E+07	4.42E+07	1.95E+07	2.90E+07	2.23E+07	1.27E+07	
sp|P21217|FUT3_HUMAN	P21217	FUT3_HUMAN	FUT3	361	Homo sapiens OX=9606	1:Experimental evidence at protein level	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3	0.9931	0.999	1	1	0	1	1	0	0	0	0	0	1	0	0	1.05E+07	9382462	0	0	0	0	"sp|P51993|FUT6_HUMAN, sp|Q11128|FUT5_HUMAN, tr|K7ENC0|K7ENC0_HUMAN"
sp|P21281|VATB2_HUMAN	P21281	VATB2_HUMAN	ATP6V1B2	511	Homo sapiens OX=9606	1:Experimental evidence at protein level	"V-type proton ATPase subunit B, brain isoform"	1	0.999	8	10	4	10	8	1	1	2	1	1	8	1	1	1.12E+08	7.41E+07	7.02E+07	2.11E+07	1.75E+07	2.14E+07	
sp|P21291|CSRP1_HUMAN	P21291	CSRP1_HUMAN	CSRP1	193	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine and glycine-rich protein 1	0.9775	0.9967	1	1	0	1	1	0	0	0	0	0	1	0	0	7289687	0	5803617	0	0	0	tr|E9PP21|E9PP21_HUMAN
sp|P21333|FLNA_HUMAN	P21333	FLNA_HUMAN	FLNA	2647	Homo sapiens OX=9606	1:Experimental evidence at protein level	Filamin-A	1	0.999	24	25	0	26	23	1	1	0	0	0	24	1	1	2.21E+08	1.98E+08	2.11E+08	2.95E+07	3.35E+07	3.28E+07	tr|Q60FE5|Q60FE5_HUMAN
sp|P21796|VDAC1_HUMAN	P21796	VDAC1_HUMAN	VDAC1	283	Homo sapiens OX=9606	1:Experimental evidence at protein level	Voltage-dependent anion-selective channel protein 1	1	0.999	15	23	7	23	16	6	1	4	2	1	16	6	1	2.76E+08	2.82E+08	2.30E+08	9.62E+07	9.79E+07	1.06E+08	
sp|P22059|OSBP1_HUMAN	P22059	OSBP1_HUMAN	OSBP	807	Homo sapiens OX=9606	1:Experimental evidence at protein level	Oxysterol-binding protein 1	1	0.9983	1	2	0	2	2	0	0	0	0	0	2	0	0	5476747.5	6001759	6429637.5	0	0	0	
sp|P22061|PIMT_HUMAN	P22061	PIMT_HUMAN	PCMT1	227	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	1	0.999	2	2	0	2	2	0	0	0	0	0	2	0	0	9426347	1.77E+07	1.02E+07	0	0	0	"tr|A0A3F2YNX8|A0A3F2YNX8_HUMAN, tr|F6S8N6|F6S8N6_HUMAN"
sp|P22079|PERL_HUMAN	P22079	PERL_HUMAN	LPO	712	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lactoperoxidase	1	0.9968	4	4	0	4	3	0	1	0	0	0	3	0	1	1.39E+07	7950458.5	2.67E+07	8979407	3380320	1.24E+07	tr|F5H386|F5H386_HUMAN
sp|P22087|FBRL_HUMAN	P22087	FBRL_HUMAN	FBL	321	Homo sapiens OX=9606	1:Experimental evidence at protein level	rRNA 2'-O-methyltransferase fibrillarin	1	0.995	2	2	0	2	2	0	0	0	0	0	2	0	0	4799628	0	0	0	0	0	"tr|M0QXL5|M0QXL5_HUMAN, tr|M0R0P1|M0R0P1_HUMAN, tr|M0R299|M0R299_HUMAN, tr|M0R2Q4|M0R2Q4_HUMAN"
sp|P22102|PUR2_HUMAN	P22102	PUR2_HUMAN	GART	1010	Homo sapiens OX=9606	1:Experimental evidence at protein level	Trifunctional purine biosynthetic protein adenosine-3	0.9924	0.9989	1	2	2	2	2	0	0	2	0	0	2	0	0	5383278	6399657	7744958.5	0	0	0	
sp|P22234|PUR6_HUMAN	P22234	PUR6_HUMAN	PAICS	425	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	1	0.9964	1	1	0	1	1	0	0	0	0	0	1	0	0	2487328	2520940.5	4729507	0	0	0	"tr|D6RF62|D6RF62_HUMAN, tr|E9PBS1|E9PBS1_HUMAN"
sp|P22307|SCP2_HUMAN	P22307	SCP2_HUMAN	SCP2	547	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sterol carrier protein 2	1	0.9988	6	6	2	6	6	0	0	2	0	0	6	0	0	6.20E+07	3.00E+07	2.58E+07	2.17E+07	1.38E+07	1.74E+07	
sp|P22314|UBA1_HUMAN	P22314	UBA1_HUMAN	UBA1	1058	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 1	1	0.999	11	16	5	16	12	2	2	5	0	0	12	2	2	1.77E+08	1.32E+08	1.43E+08	4.56E+07	4.06E+07	3.84E+07	
sp|P22392|NDKB_HUMAN	P22392	NDKB_HUMAN	NME2	152	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoside diphosphate kinase B	1	0.9989	7	14	0	14	8	3	3	0	0	0	8	3	3	3.34E+08	3.26E+08	3.00E+08	1.14E+08	1.62E+08	1.60E+08	tr|Q32Q12|Q32Q12_HUMAN
sp|P22626|ROA2_HUMAN	P22626	ROA2_HUMAN	HNRNPA2B1	353	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoproteins A2/B1	1	0.999	7	8	0	8	7	0	1	0	0	0	7	0	1	3.94E+07	4.28E+07	4.99E+07	1.23E+07	1.70E+07	1.90E+07	"tr|A0A7I2V323|A0A7I2V323_HUMAN, tr|A0A7I2V3P1|A0A7I2V3P1_HUMAN, tr|A0A7I2V3P7|A0A7I2V3P7_HUMAN, tr|A0A7I2V4N1|A0A7I2V4N1_HUMAN"
sp|P22695|QCR2_HUMAN	P22695	QCR2_HUMAN	UQCRC2	453	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Cytochrome b-c1 complex subunit 2, mitochondrial"	1	0.999	9	11	0	11	9	1	1	0	0	0	9	1	1	1.34E+08	1.26E+08	8.63E+07	4.38E+07	4.50E+07	3.57E+07	tr|H3BRG4|H3BRG4_HUMAN
sp|P22735|TGM1_HUMAN	P22735	TGM1_HUMAN	TGM1	817	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein-glutamine gamma-glutamyltransferase K	1	0.999	40	78	48	78	49	12	17	29	9	10	49	12	17	2.03E+09	2.23E+09	1.95E+09	3.29E+08	4.12E+08	3.44E+08	
sp|P23141|EST1_HUMAN	P23141	EST1_HUMAN	CES1	567	Homo sapiens OX=9606	1:Experimental evidence at protein level	Liver carboxylesterase 1	1	0.9915	1	1	0	1	1	0	0	0	0	0	1	0	0	2949349	0	0	0	0	0	
sp|P23246|SFPQ_HUMAN	P23246	SFPQ_HUMAN	SFPQ	707	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Splicing factor, proline- and glutamine-rich"	1	0.9961	4	3	0	4	3	0	0	0	0	0	4	0	0	2.16E+07	2.09E+07	2.28E+07	8015519.5	9322876	1.07E+07	tr|A0A8Q3WMA7|A0A8Q3WMA7_HUMAN
sp|P23284|PPIB_HUMAN	P23284	PPIB_HUMAN	PPIB	216	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase B	1	0.999	13	20	0	20	15	3	2	0	0	0	15	3	2	2.09E+08	2.66E+08	2.19E+08	6.87E+07	7.29E+07	6.46E+07	tr|A0A7P0Z497|A0A7P0Z497_HUMAN
sp|P23381|SYWC_HUMAN	P23381	SYWC_HUMAN	WARS1	471	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Tryptophan--tRNA ligase, cytoplasmic"	1	0.999	3	3	0	3	3	0	0	0	0	0	3	0	0	1.40E+07	1.44E+07	1.33E+07	7954275	7586227.5	7934478.5	
sp|P23396|RS3_HUMAN	P23396	RS3_HUMAN	RPS3	243	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S3	1	0.999	13	28	0	28	17	5	6	0	0	0	17	5	6	3.80E+08	3.85E+08	3.55E+08	7.90E+07	7.71E+07	7.76E+07	
sp|P23526|SAHH_HUMAN	P23526	SAHH_HUMAN	AHCY	432	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenosylhomocysteinase	1	0.9988	11	15	12	15	10	2	3	7	2	3	10	2	3	1.80E+08	1.56E+08	1.86E+08	4.04E+07	3.85E+07	3.76E+07	
sp|P23527|H2B1O_HUMAN	P23527	H2B1O_HUMAN	H2BC17	126	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2B type 1-O	1	0.999	14	18	0	32	13	3	2	0	0	0	19	7	6	2.88E+08	6.08E+08	5.42E+08	1.36E+08	2.05E+08	1.76E+08	"sp|P33778|H2B1B_HUMAN, sp|Q16778|H2B2E_HUMAN"
sp|P23528|COF1_HUMAN	P23528	COF1_HUMAN	CFL1	166	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cofilin-1	1	0.999	11	23	0	23	12	5	6	0	0	0	12	5	6	6.53E+08	6.03E+08	5.27E+08	3.03E+08	2.67E+08	2.81E+08	
sp|P23743|DGKA_HUMAN	P23743	DGKA_HUMAN	DGKA	735	Homo sapiens OX=9606	1:Experimental evidence at protein level	Diacylglycerol kinase alpha	0.9921	0.9989	1	2	0	2	2	0	0	0	0	0	2	0	0	4060828.8	0	3815060	0	0	0	tr|G3V4E1|G3V4E1_HUMAN
sp|P24158|PRTN3_HUMAN	P24158	PRTN3_HUMAN	PRTN3	256	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myeloblastin	0.885	0.9817	1	1	0	1	1	0	0	0	0	0	1	0	0	4470203	9005306	0	0	0	0	tr|U3KPS2|U3KPS2_HUMAN
sp|P24534|EF1B_HUMAN	P24534	EF1B_HUMAN	EEF1B2	225	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 1-beta	1	0.9989	6	7	4	7	6	0	1	3	0	1	6	0	1	9.15E+07	9.39E+07	9.58E+07	4.13E+07	4.32E+07	4.08E+07	
sp|P24539|AT5F1_HUMAN	P24539	AT5F1_HUMAN	ATP5PB	256	Homo sapiens OX=9606	1:Experimental evidence at protein level	"ATP synthase F(0) complex subunit B1, mitochondrial"	1	0.9988	3	4	0	4	4	0	0	0	0	0	4	0	0	2.92E+07	2.40E+07	1.55E+07	1.01E+07	8778160	8940531	tr|Q5QNZ2|Q5QNZ2_HUMAN
sp|P24752|THIL_HUMAN	P24752	THIL_HUMAN	ACAT1	427	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Acetyl-CoA acetyltransferase, mitochondrial"	1	0.9989	3	4	0	4	4	0	0	0	0	0	4	0	0	2.22E+07	2.12E+07	1.11E+07	1.04E+07	1.01E+07	6657134.5	"tr|A0A5F9ZHJ7|A0A5F9ZHJ7_HUMAN, tr|A0A5F9ZHL1|A0A5F9ZHL1_HUMAN"
sp|P25311|ZA2G_HUMAN	P25311	ZA2G_HUMAN	AZGP1	298	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc-alpha-2-glycoprotein	1	0.999	16	35	8	35	19	9	7	5	1	2	19	9	7	8.60E+08	9.13E+08	2.17E+09	1.94E+08	2.46E+08	5.01E+08	
sp|P25398|RS12_HUMAN	P25398	RS12_HUMAN	RPS12	132	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S12	1	0.999	2	5	5	5	2	2	1	2	2	1	2	2	1	6.20E+07	7.00E+07	6.81E+07	5.37E+07	6.05E+07	4.76E+07	
sp|P25685|DNJB1_HUMAN	P25685	DNJB1_HUMAN	DNAJB1	340	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily B member 1	1	0.999	6	6	0	6	6	0	0	0	0	0	6	0	0	6.15E+07	4.91E+07	4.22E+07	3.39E+07	3.36E+07	2.78E+07	
sp|P25705|ATPA_HUMAN	P25705	ATPA_HUMAN	ATP5F1A	553	Homo sapiens OX=9606	1:Experimental evidence at protein level	"ATP synthase subunit alpha, mitochondrial"	1	0.999	20	34	6	34	18	9	7	2	2	2	18	9	7	7.50E+08	7.00E+08	6.97E+08	1.89E+08	1.88E+08	1.76E+08	
sp|P25786|PSA1_HUMAN	P25786	PSA1_HUMAN	PSMA1	263	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-1	1	0.999	6	9	0	9	6	2	1	0	0	0	6	2	1	1.25E+08	1.88E+08	1.83E+08	4.65E+07	6.66E+07	7.12E+07	
sp|P25787|PSA2_HUMAN	P25787	PSA2_HUMAN	PSMA2	234	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-2	1	0.999	6	15	0	15	6	4	5	0	0	0	6	4	5	1.12E+08	1.02E+08	1.56E+08	2.29E+07	3.98E+07	3.67E+07	
sp|P25788|PSA3_HUMAN	P25788	PSA3_HUMAN	PSMA3	255	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-3	1	0.9989	5	8	3	8	5	1	2	1	1	1	5	1	2	5.76E+07	6.25E+07	1.06E+08	1.99E+07	2.76E+07	4.01E+07	
sp|P25789|PSA4_HUMAN	P25789	PSA4_HUMAN	PSMA4	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-4	1	0.9985	2	3	0	3	2	0	1	0	0	0	2	0	1	2.89E+07	2.75E+07	5.37E+07	0	0	0	"tr|H0YL69|H0YL69_HUMAN, tr|H0YMZ1|H0YMZ1_HUMAN"
sp|P25815|S100P_HUMAN	P25815	S100P_HUMAN	S100P	95	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-P	0.9923	0.9989	1	1	1	1	1	0	0	1	0	0	1	0	0	8428640	1.04E+07	1.21E+07	0	0	0	
sp|P26038|MOES_HUMAN	P26038	MOES_HUMAN	MSN	577	Homo sapiens OX=9606	1:Experimental evidence at protein level	Moesin	1	0.9984	13	4	0	21	3	0	1	0	0	0	13	4	4	2.27E+07	2.65E+07	1.81E+07	1.40E+07	1.71E+07	0	
sp|P26196|DDX6_HUMAN	P26196	DDX6_HUMAN	DDX6	483	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX6	1	0.9988	3	3	3	3	3	0	0	3	0	0	3	0	0	1.84E+07	1.70E+07	1.74E+07	7815700	7205063.5	6807854	
sp|P26232|CTNA2_HUMAN	P26232	CTNA2_HUMAN	CTNNA2	953	Homo sapiens OX=9606	1:Experimental evidence at protein level	Catenin alpha-2	0.9923	0.9989	1	1	0	1	1	0	0	0	0	0	1	0	0	1.13E+07	9735688	0	0	0	0	"tr|C9IZ88|C9IZ88_HUMAN, tr|C9J144|C9J144_HUMAN"
sp|P26373|RL13_HUMAN	P26373	RL13_HUMAN	RPL13	211	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L13	1	0.995	4	4	0	4	4	0	0	0	0	0	4	0	0	5.91E+07	3.94E+07	5.81E+07	2.99E+07	2.44E+07	3.61E+07	tr|J3QSB4|J3QSB4_HUMAN
sp|P26447|S10A4_HUMAN	P26447	S10A4_HUMAN	S100A4	101	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A4	0.8907	0.9827	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1.58E+07	2.24E+07	0	0	0	
sp|P26583|HMGB2_HUMAN	P26583	HMGB2_HUMAN	HMGB2	209	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group protein B2	0.9791	0.997	1	1	0	1	1	0	0	0	0	0	1	0	0	5237861	3999931.2	5704877.5	0	0	0	tr|D6R9A6|D6R9A6_HUMAN
sp|P26599|PTBP1_HUMAN	P26599	PTBP1_HUMAN	PTBP1	557	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polypyrimidine tract-binding protein 1	1	0.999	6	9	0	9	5	2	2	0	0	0	5	2	2	5.59E+07	3.73E+07	5.99E+07	1.71E+07	1.76E+07	1.57E+07	"tr|A0A0U1RRM4|A0A0U1RRM4_HUMAN, tr|A6NLN1|A6NLN1_HUMAN"
sp|P26639|SYTC_HUMAN	P26639	SYTC_HUMAN	TARS1	723	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Threonine--tRNA ligase 1, cytoplasmic"	1	0.999	7	9	7	9	7	1	1	5	1	1	7	1	1	6.26E+07	7.05E+07	4.97E+07	2.89E+07	2.98E+07	2.78E+07	
sp|P26640|SYVC_HUMAN	P26640	SYVC_HUMAN	VARS1	1264	Homo sapiens OX=9606	1:Experimental evidence at protein level	Valine--tRNA ligase	1	0.999	2	2	0	2	2	0	0	0	0	0	2	0	0	8791302	6682648.5	2914911.2	6516080.5	4599792	0	
sp|P26641|EF1G_HUMAN	P26641	EF1G_HUMAN	EEF1G	437	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 1-gamma	1	0.999	12	17	17	17	12	2	3	12	2	3	12	2	3	2.82E+08	3.75E+08	3.61E+08	6.98E+07	7.68E+07	7.66E+07	
sp|P27144|KAD4_HUMAN	P27144	KAD4_HUMAN	AK4	223	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Adenylate kinase 4, mitochondrial"	0.97	0.9956	1	1	0	1	1	0	0	0	0	0	1	0	0	7144381	0	0	0	0	0	"tr|A0A8I5KW96|A0A8I5KW96_HUMAN, tr|F8VS11|F8VS11_HUMAN"
sp|P27348|1433T_HUMAN	P27348	1433T_HUMAN	YWHAQ	245	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein theta	1	0.9989	9	5	1	12	5	0	0	1	0	0	10	1	1	1.29E+08	1.01E+08	9.60E+07	1.04E+08	7.36E+07	6.78E+07	
sp|P27361|MK03_HUMAN	P27361	MK03_HUMAN	MAPK3	379	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitogen-activated protein kinase 3	1	0.9987	6	8	0	8	7	1	0	0	0	0	7	1	0	3.72E+07	3.38E+07	3.33E+07	1.17E+07	1.26E+07	1.03E+07	
sp|P27449|VATL_HUMAN	P27449	VATL_HUMAN	ATP6V0C	155	Homo sapiens OX=9606	1:Experimental evidence at protein level	V-type proton ATPase 16 kDa proteolipid subunit c	1	0.9957	1	3	3	3	3	0	0	3	0	0	3	0	0	1.87E+07	4.14E+07	1.97E+07	1.25E+07	2.54E+07	0	
sp|P27482|CALL3_HUMAN	P27482	CALL3_HUMAN	CALML3	149	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calmodulin-like protein 3	1	0.999	8	19	19	19	13	3	3	13	3	3	13	3	3	3.89E+08	1.90E+08	2.34E+08	1.27E+08	1.10E+08	1.33E+08	
sp|P27635|RL10_HUMAN	P27635	RL10_HUMAN	RPL10	214	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L10	1	0.999	6	8	0	8	6	0	2	0	0	0	6	0	2	5.22E+07	4.09E+07	4.52E+07	1.54E+07	1.59E+07	1.61E+07	"tr|F8W7C6|F8W7C6_HUMAN, tr|X1WI28|X1WI28_HUMAN"
sp|P27797|CALR_HUMAN	P27797	CALR_HUMAN	CALR	417	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calreticulin	1	0.999	8	10	0	10	9	0	1	0	0	0	9	0	1	7.53E+07	5.61E+07	3.52E+07	2.64E+07	2.05E+07	1.84E+07	"tr|A0A7P0T861|A0A7P0T861_HUMAN, tr|K7EL50|K7EL50_HUMAN"
sp|P27816|MAP4_HUMAN	P27816	MAP4_HUMAN	MAP4	1152	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated protein 4	1	0.9989	2	2	0	2	2	0	0	0	0	0	2	0	0	1.75E+07	1.43E+07	1.39E+07	9896582	7855337	7879388.5	"tr|A0A804HKE7|A0A804HKE7_HUMAN, tr|E7EVA0|E7EVA0_HUMAN"
sp|P27824|CALX_HUMAN	P27824	CALX_HUMAN	CANX	592	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calnexin	1	0.999	3	5	0	5	3	1	1	0	0	0	3	1	1	7.57E+07	9.56E+07	1.00E+08	4.05E+07	5.06E+07	5.51E+07	"tr|A0A7P0T840|A0A7P0T840_HUMAN, tr|A0A7P0T8G1|A0A7P0T8G1_HUMAN, tr|A0A7P0T937|A0A7P0T937_HUMAN, tr|A0A7P0T9L0|A0A7P0T9L0_HUMAN, tr|A0A7P0TAE9|A0A7P0TAE9_HUMAN, tr|A0A7P0TB65|A0A7P0TB65_HUMAN, tr|A0A7P0Z4D6|A0A7P0Z4D6_HUMAN"
sp|P28062|PSB8_HUMAN	P28062	PSB8_HUMAN	PSMB8	276	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-8	1	0.999	2	2	0	2	2	0	0	0	0	0	2	0	0	5736809	0	0	0	0	0	"tr|A0A140T998|A0A140T998_HUMAN, tr|Q5JNW7|Q5JNW7_HUMAN, tr|X5D2R7|X5D2R7_HUMAN"
sp|P28066|PSA5_HUMAN	P28066	PSA5_HUMAN	PSMA5	241	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-5	1	0.999	3	7	7	7	4	1	2	4	1	2	4	1	2	8.22E+07	9.97E+07	1.27E+08	5.09E+07	8.51E+07	9.50E+07	
sp|P28070|PSB4_HUMAN	P28070	PSB4_HUMAN	PSMB4	264	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-4	1	0.9988	1	2	2	2	1	0	1	1	0	1	1	0	1	1.72E+07	2.06E+07	2.42E+07	0	0	0	
sp|P28072|PSB6_HUMAN	P28072	PSB6_HUMAN	PSMB6	239	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-6	1	0.9963	4	6	3	6	4	2	0	2	1	0	4	2	0	9.57E+07	1.54E+08	1.64E+08	3.69E+07	5.86E+07	6.32E+07	
sp|P28074|PSB5_HUMAN	P28074	PSB5_HUMAN	PSMB5	263	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-5	1	0.9989	7	7	5	7	6	0	1	4	0	1	6	0	1	4.84E+07	6.68E+07	7.78E+07	1.08E+07	1.64E+07	2.16E+07	
sp|P28288|ABCD3_HUMAN	P28288	ABCD3_HUMAN	ABCD3	659	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-binding cassette sub-family D member 3	1	0.9988	2	2	0	2	2	0	0	0	0	0	2	0	0	9607030	1.03E+07	3768701.8	5531362.5	5790811	0	tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN
sp|P28331|NDUS1_HUMAN	P28331	NDUS1_HUMAN	NDUFS1	727	Homo sapiens OX=9606	1:Experimental evidence at protein level	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"	1	0.9989	1	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	tr|B4DJ81|B4DJ81_HUMAN
sp|P28482|MK01_HUMAN	P28482	MK01_HUMAN	MAPK1	360	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitogen-activated protein kinase 1	1	0.997	3	2	2	3	1	0	1	1	0	1	2	0	1	9485526	1.12E+07	1.68E+07	0	0	0	
sp|P28838|AMPL_HUMAN	P28838	AMPL_HUMAN	LAP3	519	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosol aminopeptidase	1	0.9868	3	3	1	3	3	0	0	1	0	0	3	0	0	2.80E+07	2.84E+07	2.76E+07	1.50E+07	1.57E+07	1.45E+07	
sp|P29034|S10A2_HUMAN	P29034	S10A2_HUMAN	S100A2	98	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A2	1	0.999	4	6	0	6	5	0	1	0	0	0	5	0	1	1.31E+08	1.52E+08	1.23E+08	8.53E+07	8.52E+07	7.72E+07	
sp|P29317|EPHA2_HUMAN	P29317	EPHA2_HUMAN	EPHA2	976	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ephrin type-A receptor 2	1	0.9941	2	2	2	2	2	0	0	2	0	0	2	0	0	4389227	2302338.5	2627496.8	0	0	0	
sp|P29373|RABP2_HUMAN	P29373	RABP2_HUMAN	CRABP2	138	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cellular retinoic acid-binding protein 2	1	0.999	9	11	1	11	9	1	1	1	0	0	9	1	1	2.03E+08	2.21E+08	2.14E+08	5.05E+07	5.70E+07	5.26E+07	
sp|P29401|TKT_HUMAN	P29401	TKT_HUMAN	TKT	623	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transketolase	1	0.999	19	37	27	37	23	7	7	16	5	6	23	7	7	7.80E+08	6.59E+08	6.78E+08	1.30E+08	1.36E+08	1.24E+08	
sp|P29508|SPB3_HUMAN	P29508	SPB3_HUMAN	SERPINB3	390	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serpin B3	1	0.999	35	68	35	68	41	10	17	21	5	9	41	10	17	1.73E+09	1.88E+09	2.87E+09	3.35E+08	4.13E+08	5.06E+08	
